Week,Day,Hour,Building,Demand_Prediction,Pressure_Multiplier,Timestep
1,Monday,7,Grainger Library,0.05,1.0,7
1,Monday,7,Funk Library,-1.0,1.0,7
1,Monday,7,Main Library,-1.0,1.0,7
1,Monday,7,Illini Union,0.033,1.0,7
1,Monday,7,CIF,0.044,1.0,7
1,Monday,7,BIF,0.076,1.0,7
1,Monday,7,Siebel Center for CS,0.029,1.0,7
1,Monday,7,Siebel Center for Design,0.065,1.0,7
1,Monday,8,Grainger Library,0.092,1.0,8
1,Monday,8,Funk Library,0.187,1.0,8
1,Monday,8,Main Library,0.161,1.0,8
1,Monday,8,Illini Union,0.102,1.0,8
1,Monday,8,CIF,0.081,1.0,8
1,Monday,8,BIF,0.129,1.0,8
1,Monday,8,Siebel Center for CS,0.053,1.0,8
1,Monday,8,Siebel Center for Design,0.119,1.0,8
1,Monday,9,Grainger Library,0.156,1.0,9
1,Monday,9,Funk Library,0.308,1.0,9
1,Monday,9,Main Library,0.252,1.0,9
1,Monday,9,Illini Union,0.243,1.0,9
1,Monday,9,CIF,0.138,1.0,9
1,Monday,9,BIF,0.202,1.0,9
1,Monday,9,Siebel Center for CS,0.089,1.0,9
1,Monday,9,Siebel Center for Design,0.196,1.0,9
1,Monday,10,Grainger Library,0.245,1.0,10
1,Monday,10,Funk Library,0.455,1.0,10
1,Monday,10,Main Library,0.364,1.0,10
1,Monday,10,Illini Union,0.455,1.0,10
1,Monday,10,CIF,0.216,1.0,10
1,Monday,10,BIF,0.291,1.0,10
1,Monday,10,Siebel Center for CS,0.14,1.0,10
1,Monday,10,Siebel Center for Design,0.289,1.0,10
1,Monday,11,Grainger Library,0.354,1.0,11
1,Monday,11,Funk Library,0.601,1.0,11
1,Monday,11,Main Library,0.485,1.0,11
1,Monday,11,Illini Union,0.662,1.0,11
1,Monday,11,CIF,0.312,1.0,11
1,Monday,11,BIF,0.388,1.0,11
1,Monday,11,Siebel Center for CS,0.202,1.0,11
1,Monday,11,Siebel Center for Design,0.382,1.0,11
1,Monday,12,Grainger Library,0.471,1.0,12
1,Monday,12,Funk Library,0.709,1.0,12
1,Monday,12,Main Library,0.595,1.0,12
1,Monday,12,Illini Union,0.75,1.0,12
1,Monday,12,CIF,0.416,1.0,12
1,Monday,12,BIF,0.476,1.0,12
1,Monday,12,Siebel Center for CS,0.269,1.0,12
1,Monday,12,Siebel Center for Design,0.451,1.0,12
1,Monday,13,Grainger Library,0.578,1.0,13
1,Monday,13,Funk Library,0.75,1.0,13
1,Monday,13,Main Library,0.672,1.0,13
1,Monday,13,Illini Union,0.662,1.0,13
1,Monday,13,CIF,0.51,1.0,13
1,Monday,13,BIF,0.538,1.0,13
1,Monday,13,Siebel Center for CS,0.33,1.0,13
1,Monday,13,Siebel Center for Design,0.477,1.0,13
1,Monday,14,Grainger Library,0.653,1.0,14
1,Monday,14,Funk Library,0.709,1.0,14
1,Monday,14,Main Library,0.7,1.0,14
1,Monday,14,Illini Union,0.455,1.0,14
1,Monday,14,CIF,0.576,1.0,14
1,Monday,14,BIF,0.56,1.0,14
1,Monday,14,Siebel Center for CS,0.373,1.0,14
1,Monday,14,Siebel Center for Design,0.451,1.0,14
1,Monday,15,Grainger Library,0.68,1.0,15
1,Monday,15,Funk Library,0.601,1.0,15
1,Monday,15,Main Library,0.672,1.0,15
1,Monday,15,Illini Union,0.394,1.0,15
1,Monday,15,CIF,0.6,1.0,15
1,Monday,15,BIF,0.538,1.0,15
1,Monday,15,Siebel Center for CS,0.389,1.0,15
1,Monday,15,Siebel Center for Design,0.382,1.0,15
1,Monday,16,Grainger Library,0.653,1.0,16
1,Monday,16,Funk Library,0.455,1.0,16
1,Monday,16,Main Library,0.595,1.0,16
1,Monday,16,Illini Union,0.52,1.0,16
1,Monday,16,CIF,0.576,1.0,16
1,Monday,16,BIF,0.476,1.0,16
1,Monday,16,Siebel Center for CS,0.373,1.0,16
1,Monday,16,Siebel Center for Design,0.289,1.0,16
1,Monday,17,Grainger Library,0.578,1.0,17
1,Monday,17,Funk Library,0.308,1.0,17
1,Monday,17,Main Library,0.485,1.0,17
1,Monday,17,Illini Union,0.615,1.0,17
1,Monday,17,CIF,0.51,1.0,17
1,Monday,17,BIF,0.388,1.0,17
1,Monday,17,Siebel Center for CS,0.33,1.0,17
1,Monday,17,Siebel Center for Design,0.196,1.0,17
1,Monday,18,Grainger Library,0.471,1.0,18
1,Monday,18,Funk Library,0.187,1.0,18
1,Monday,18,Main Library,0.364,1.0,18
1,Monday,18,Illini Union,0.65,1.0,18
1,Monday,18,CIF,0.416,1.0,18
1,Monday,18,BIF,0.291,1.0,18
1,Monday,18,Siebel Center for CS,0.269,1.0,18
1,Monday,18,Siebel Center for Design,0.119,1.0,18
1,Monday,19,Grainger Library,0.354,1.0,19
1,Monday,19,Funk Library,0.102,1.0,19
1,Monday,19,Main Library,0.252,1.0,19
1,Monday,19,Illini Union,0.615,1.0,19
1,Monday,19,CIF,0.312,1.0,19
1,Monday,19,BIF,0.202,1.0,19
1,Monday,19,Siebel Center for CS,0.202,1.0,19
1,Monday,19,Siebel Center for Design,0.065,1.0,19
1,Monday,20,Grainger Library,0.245,1.0,20
1,Monday,20,Funk Library,0.049,1.0,20
1,Monday,20,Main Library,0.161,1.0,20
1,Monday,20,Illini Union,0.52,1.0,20
1,Monday,20,CIF,0.216,1.0,20
1,Monday,20,BIF,0.129,1.0,20
1,Monday,20,Siebel Center for CS,0.14,1.0,20
1,Monday,20,Siebel Center for Design,0.031,1.0,20
1,Monday,21,Grainger Library,0.156,1.0,21
1,Monday,21,Funk Library,0.021,1.0,21
1,Monday,21,Main Library,0.095,1.0,21
1,Monday,21,Illini Union,0.394,1.0,21
1,Monday,21,CIF,0.138,1.0,21
1,Monday,21,BIF,0.076,1.0,21
1,Monday,21,Siebel Center for CS,0.089,1.0,21
1,Monday,21,Siebel Center for Design,0.014,1.0,21
1,Monday,22,Grainger Library,0.092,1.0,22
1,Monday,22,Funk Library,0.008,1.0,22
1,Monday,22,Main Library,0.051,1.0,22
1,Monday,22,Illini Union,0.267,1.0,22
1,Monday,22,CIF,0.081,1.0,22
1,Monday,22,BIF,0.041,1.0,22
1,Monday,22,Siebel Center for CS,-1.0,1.0,22
1,Monday,22,Siebel Center for Design,0.005,1.0,22
1,Monday,23,Grainger Library,0.05,1.0,23
1,Monday,23,Funk Library,0.003,1.0,23
1,Monday,23,Main Library,-1.0,1.0,23
1,Monday,23,Illini Union,-1.0,1.0,23
1,Monday,23,CIF,-1.0,1.0,23
1,Monday,23,BIF,0.021,1.0,23
1,Monday,23,Siebel Center for CS,-1.0,1.0,23
1,Monday,23,Siebel Center for Design,0.002,1.0,23
1,Tuesday,0,Grainger Library,0.0,1.0,24
1,Tuesday,0,Funk Library,0.0,1.0,24
1,Tuesday,0,Main Library,-1.0,1.0,24
1,Tuesday,0,Illini Union,-1.0,1.0,24
1,Tuesday,0,CIF,-1.0,1.0,24
1,Tuesday,0,BIF,-1.0,1.0,24
1,Tuesday,0,Siebel Center for CS,-1.0,1.0,24
1,Tuesday,0,Siebel Center for Design,-1.0,1.0,24
1,Tuesday,1,Grainger Library,0.0,1.0,25
1,Tuesday,1,Funk Library,0.0,1.0,25
1,Tuesday,1,Main Library,-1.0,1.0,25
1,Tuesday,1,Illini Union,-1.0,1.0,25
1,Tuesday,1,CIF,-1.0,1.0,25
1,Tuesday,1,BIF,-1.0,1.0,25
1,Tuesday,1,Siebel Center for CS,-1.0,1.0,25
1,Tuesday,1,Siebel Center for Design,-1.0,1.0,25
1,Tuesday,2,Grainger Library,0.001,1.0,26
1,Tuesday,2,Funk Library,-1.0,1.0,26
1,Tuesday,2,Main Library,-1.0,1.0,26
1,Tuesday,2,Illini Union,-1.0,1.0,26
1,Tuesday,2,CIF,-1.0,1.0,26
1,Tuesday,2,BIF,-1.0,1.0,26
1,Tuesday,2,Siebel Center for CS,-1.0,1.0,26
1,Tuesday,2,Siebel Center for Design,-1.0,1.0,26
1,Tuesday,3,Grainger Library,0.002,1.0,27
1,Tuesday,3,Funk Library,-1.0,1.0,27
1,Tuesday,3,Main Library,-1.0,1.0,27
1,Tuesday,3,Illini Union,-1.0,1.0,27
1,Tuesday,3,CIF,-1.0,1.0,27
1,Tuesday,3,BIF,-1.0,1.0,27
1,Tuesday,3,Siebel Center for CS,-1.0,1.0,27
1,Tuesday,3,Siebel Center for Design,-1.0,1.0,27
1,Tuesday,4,Grainger Library,0.005,1.0,28
1,Tuesday,4,Funk Library,-1.0,1.0,28
1,Tuesday,4,Main Library,-1.0,1.0,28
1,Tuesday,4,Illini Union,-1.0,1.0,28
1,Tuesday,4,CIF,-1.0,1.0,28
1,Tuesday,4,BIF,-1.0,1.0,28
1,Tuesday,4,Siebel Center for CS,-1.0,1.0,28
1,Tuesday,4,Siebel Center for Design,-1.0,1.0,28
1,Tuesday,5,Grainger Library,0.011,1.0,29
1,Tuesday,5,Funk Library,-1.0,1.0,29
1,Tuesday,5,Main Library,-1.0,1.0,29
1,Tuesday,5,Illini Union,-1.0,1.0,29
1,Tuesday,5,CIF,-1.0,1.0,29
1,Tuesday,5,BIF,-1.0,1.0,29
1,Tuesday,5,Siebel Center for CS,-1.0,1.0,29
1,Tuesday,5,Siebel Center for Design,-1.0,1.0,29
1,Tuesday,6,Grainger Library,0.025,1.0,30
1,Tuesday,6,Funk Library,-1.0,1.0,30
1,Tuesday,6,Main Library,-1.0,1.0,30
1,Tuesday,6,Illini Union,-1.0,1.0,30
1,Tuesday,6,CIF,-1.0,1.0,30
1,Tuesday,6,BIF,0.041,1.0,30
1,Tuesday,6,Siebel Center for CS,-1.0,1.0,30
1,Tuesday,6,Siebel Center for Design,-1.0,1.0,30
1,Tuesday,7,Grainger Library,0.05,1.0,31
1,Tuesday,7,Funk Library,-1.0,1.0,31
1,Tuesday,7,Main Library,-1.0,1.0,31
1,Tuesday,7,Illini Union,0.033,1.0,31
1,Tuesday,7,CIF,0.044,1.0,31
1,Tuesday,7,BIF,0.076,1.0,31
1,Tuesday,7,Siebel Center for CS,0.029,1.0,31
1,Tuesday,7,Siebel Center for Design,0.031,1.0,31
1,Tuesday,8,Grainger Library,0.092,1.0,32
1,Tuesday,8,Funk Library,0.102,1.0,32
1,Tuesday,8,Main Library,0.161,1.0,32
1,Tuesday,8,Illini Union,0.102,1.0,32
1,Tuesday,8,CIF,0.081,1.0,32
1,Tuesday,8,BIF,0.129,1.0,32
1,Tuesday,8,Siebel Center for CS,0.053,1.0,32
1,Tuesday,8,Siebel Center for Design,0.065,1.0,32
1,Tuesday,9,Grainger Library,0.156,1.0,33
1,Tuesday,9,Funk Library,0.187,1.0,33
1,Tuesday,9,Main Library,0.252,1.0,33
1,Tuesday,9,Illini Union,0.243,1.0,33
1,Tuesday,9,CIF,0.138,1.0,33
1,Tuesday,9,BIF,0.202,1.0,33
1,Tuesday,9,Siebel Center for CS,0.089,1.0,33
1,Tuesday,9,Siebel Center for Design,0.119,1.0,33
1,Tuesday,10,Grainger Library,0.245,1.0,34
1,Tuesday,10,Funk Library,0.308,1.0,34
1,Tuesday,10,Main Library,0.364,1.0,34
1,Tuesday,10,Illini Union,0.455,1.0,34
1,Tuesday,10,CIF,0.216,1.0,34
1,Tuesday,10,BIF,0.291,1.0,34
1,Tuesday,10,Siebel Center for CS,0.14,1.0,34
1,Tuesday,10,Siebel Center for Design,0.196,1.0,34
1,Tuesday,11,Grainger Library,0.354,1.0,35
1,Tuesday,11,Funk Library,0.455,1.0,35
1,Tuesday,11,Main Library,0.485,1.0,35
1,Tuesday,11,Illini Union,0.662,1.0,35
1,Tuesday,11,CIF,0.312,1.0,35
1,Tuesday,11,BIF,0.388,1.0,35
1,Tuesday,11,Siebel Center for CS,0.202,1.0,35
1,Tuesday,11,Siebel Center for Design,0.289,1.0,35
1,Tuesday,12,Grainger Library,0.471,1.0,36
1,Tuesday,12,Funk Library,0.601,1.0,36
1,Tuesday,12,Main Library,0.595,1.0,36
1,Tuesday,12,Illini Union,0.75,1.0,36
1,Tuesday,12,CIF,0.416,1.0,36
1,Tuesday,12,BIF,0.476,1.0,36
1,Tuesday,12,Siebel Center for CS,0.269,1.0,36
1,Tuesday,12,Siebel Center for Design,0.382,1.0,36
1,Tuesday,13,Grainger Library,0.578,1.0,37
1,Tuesday,13,Funk Library,0.709,1.0,37
1,Tuesday,13,Main Library,0.672,1.0,37
1,Tuesday,13,Illini Union,0.662,1.0,37
1,Tuesday,13,CIF,0.51,1.0,37
1,Tuesday,13,BIF,0.538,1.0,37
1,Tuesday,13,Siebel Center for CS,0.33,1.0,37
1,Tuesday,13,Siebel Center for Design,0.451,1.0,37
1,Tuesday,14,Grainger Library,0.653,1.0,38
1,Tuesday,14,Funk Library,0.75,1.0,38
1,Tuesday,14,Main Library,0.7,1.0,38
1,Tuesday,14,Illini Union,0.455,1.0,38
1,Tuesday,14,CIF,0.576,1.0,38
1,Tuesday,14,BIF,0.56,1.0,38
1,Tuesday,14,Siebel Center for CS,0.373,1.0,38
1,Tuesday,14,Siebel Center for Design,0.477,1.0,38
1,Tuesday,15,Grainger Library,0.68,1.0,39
1,Tuesday,15,Funk Library,0.709,1.0,39
1,Tuesday,15,Main Library,0.672,1.0,39
1,Tuesday,15,Illini Union,0.394,1.0,39
1,Tuesday,15,CIF,0.6,1.0,39
1,Tuesday,15,BIF,0.538,1.0,39
1,Tuesday,15,Siebel Center for CS,0.389,1.0,39
1,Tuesday,15,Siebel Center for Design,0.451,1.0,39
1,Tuesday,16,Grainger Library,0.653,1.0,40
1,Tuesday,16,Funk Library,0.601,1.0,40
1,Tuesday,16,Main Library,0.595,1.0,40
1,Tuesday,16,Illini Union,0.52,1.0,40
1,Tuesday,16,CIF,0.576,1.0,40
1,Tuesday,16,BIF,0.476,1.0,40
1,Tuesday,16,Siebel Center for CS,0.373,1.0,40
1,Tuesday,16,Siebel Center for Design,0.382,1.0,40
1,Tuesday,17,Grainger Library,0.578,1.0,41
1,Tuesday,17,Funk Library,0.455,1.0,41
1,Tuesday,17,Main Library,0.485,1.0,41
1,Tuesday,17,Illini Union,0.615,1.0,41
1,Tuesday,17,CIF,0.51,1.0,41
1,Tuesday,17,BIF,0.388,1.0,41
1,Tuesday,17,Siebel Center for CS,0.33,1.0,41
1,Tuesday,17,Siebel Center for Design,0.289,1.0,41
1,Tuesday,18,Grainger Library,0.471,1.0,42
1,Tuesday,18,Funk Library,0.308,1.0,42
1,Tuesday,18,Main Library,0.364,1.0,42
1,Tuesday,18,Illini Union,0.65,1.0,42
1,Tuesday,18,CIF,0.416,1.0,42
1,Tuesday,18,BIF,0.291,1.0,42
1,Tuesday,18,Siebel Center for CS,0.269,1.0,42
1,Tuesday,18,Siebel Center for Design,0.196,1.0,42
1,Tuesday,19,Grainger Library,0.354,1.0,43
1,Tuesday,19,Funk Library,0.187,1.0,43
1,Tuesday,19,Main Library,0.252,1.0,43
1,Tuesday,19,Illini Union,0.615,1.0,43
1,Tuesday,19,CIF,0.312,1.0,43
1,Tuesday,19,BIF,0.202,1.0,43
1,Tuesday,19,Siebel Center for CS,0.202,1.0,43
1,Tuesday,19,Siebel Center for Design,0.119,1.0,43
1,Tuesday,20,Grainger Library,0.245,1.0,44
1,Tuesday,20,Funk Library,0.102,1.0,44
1,Tuesday,20,Main Library,0.161,1.0,44
1,Tuesday,20,Illini Union,0.52,1.0,44
1,Tuesday,20,CIF,0.216,1.0,44
1,Tuesday,20,BIF,0.129,1.0,44
1,Tuesday,20,Siebel Center for CS,0.14,1.0,44
1,Tuesday,20,Siebel Center for Design,0.065,1.0,44
1,Tuesday,21,Grainger Library,0.156,1.0,45
1,Tuesday,21,Funk Library,0.049,1.0,45
1,Tuesday,21,Main Library,0.095,1.0,45
1,Tuesday,21,Illini Union,0.394,1.0,45
1,Tuesday,21,CIF,0.138,1.0,45
1,Tuesday,21,BIF,0.076,1.0,45
1,Tuesday,21,Siebel Center for CS,0.089,1.0,45
1,Tuesday,21,Siebel Center for Design,0.031,1.0,45
1,Tuesday,22,Grainger Library,0.092,1.0,46
1,Tuesday,22,Funk Library,0.021,1.0,46
1,Tuesday,22,Main Library,0.051,1.0,46
1,Tuesday,22,Illini Union,0.267,1.0,46
1,Tuesday,22,CIF,0.081,1.0,46
1,Tuesday,22,BIF,0.041,1.0,46
1,Tuesday,22,Siebel Center for CS,-1.0,1.0,46
1,Tuesday,22,Siebel Center for Design,0.014,1.0,46
1,Tuesday,23,Grainger Library,0.05,1.0,47
1,Tuesday,23,Funk Library,0.008,1.0,47
1,Tuesday,23,Main Library,-1.0,1.0,47
1,Tuesday,23,Illini Union,-1.0,1.0,47
1,Tuesday,23,CIF,-1.0,1.0,47
1,Tuesday,23,BIF,0.021,1.0,47
1,Tuesday,23,Siebel Center for CS,-1.0,1.0,47
1,Tuesday,23,Siebel Center for Design,0.005,1.0,47
1,Wednesday,0,Grainger Library,0.0,1.0,48
1,Wednesday,0,Funk Library,0.0,1.0,48
1,Wednesday,0,Main Library,-1.0,1.0,48
1,Wednesday,0,Illini Union,-1.0,1.0,48
1,Wednesday,0,CIF,-1.0,1.0,48
1,Wednesday,0,BIF,-1.0,1.0,48
1,Wednesday,0,Siebel Center for CS,-1.0,1.0,48
1,Wednesday,0,Siebel Center for Design,-1.0,1.0,48
1,Wednesday,1,Grainger Library,0.0,1.0,49
1,Wednesday,1,Funk Library,0.0,1.0,49
1,Wednesday,1,Main Library,-1.0,1.0,49
1,Wednesday,1,Illini Union,-1.0,1.0,49
1,Wednesday,1,CIF,-1.0,1.0,49
1,Wednesday,1,BIF,-1.0,1.0,49
1,Wednesday,1,Siebel Center for CS,-1.0,1.0,49
1,Wednesday,1,Siebel Center for Design,-1.0,1.0,49
1,Wednesday,2,Grainger Library,0.001,1.0,50
1,Wednesday,2,Funk Library,-1.0,1.0,50
1,Wednesday,2,Main Library,-1.0,1.0,50
1,Wednesday,2,Illini Union,-1.0,1.0,50
1,Wednesday,2,CIF,-1.0,1.0,50
1,Wednesday,2,BIF,-1.0,1.0,50
1,Wednesday,2,Siebel Center for CS,-1.0,1.0,50
1,Wednesday,2,Siebel Center for Design,-1.0,1.0,50
1,Wednesday,3,Grainger Library,0.002,1.0,51
1,Wednesday,3,Funk Library,-1.0,1.0,51
1,Wednesday,3,Main Library,-1.0,1.0,51
1,Wednesday,3,Illini Union,-1.0,1.0,51
1,Wednesday,3,CIF,-1.0,1.0,51
1,Wednesday,3,BIF,-1.0,1.0,51
1,Wednesday,3,Siebel Center for CS,-1.0,1.0,51
1,Wednesday,3,Siebel Center for Design,-1.0,1.0,51
1,Wednesday,4,Grainger Library,0.006,1.0,52
1,Wednesday,4,Funk Library,-1.0,1.0,52
1,Wednesday,4,Main Library,-1.0,1.0,52
1,Wednesday,4,Illini Union,-1.0,1.0,52
1,Wednesday,4,CIF,-1.0,1.0,52
1,Wednesday,4,BIF,-1.0,1.0,52
1,Wednesday,4,Siebel Center for CS,-1.0,1.0,52
1,Wednesday,4,Siebel Center for Design,-1.0,1.0,52
1,Wednesday,5,Grainger Library,0.014,1.0,53
1,Wednesday,5,Funk Library,-1.0,1.0,53
1,Wednesday,5,Main Library,-1.0,1.0,53
1,Wednesday,5,Illini Union,-1.0,1.0,53
1,Wednesday,5,CIF,-1.0,1.0,53
1,Wednesday,5,BIF,-1.0,1.0,53
1,Wednesday,5,Siebel Center for CS,-1.0,1.0,53
1,Wednesday,5,Siebel Center for Design,-1.0,1.0,53
1,Wednesday,6,Grainger Library,0.029,1.0,54
1,Wednesday,6,Funk Library,-1.0,1.0,54
1,Wednesday,6,Main Library,-1.0,1.0,54
1,Wednesday,6,Illini Union,-1.0,1.0,54
1,Wednesday,6,CIF,-1.0,1.0,54
1,Wednesday,6,BIF,0.041,1.0,54
1,Wednesday,6,Siebel Center for CS,-1.0,1.0,54
1,Wednesday,6,Siebel Center for Design,-1.0,1.0,54
1,Wednesday,7,Grainger Library,0.059,1.0,55
1,Wednesday,7,Funk Library,-1.0,1.0,55
1,Wednesday,7,Main Library,-1.0,1.0,55
1,Wednesday,7,Illini Union,0.033,1.0,55
1,Wednesday,7,CIF,0.052,1.0,55
1,Wednesday,7,BIF,0.076,1.0,55
1,Wednesday,7,Siebel Center for CS,0.034,1.0,55
1,Wednesday,7,Siebel Center for Design,0.065,1.0,55
1,Wednesday,8,Grainger Library,0.108,1.0,56
1,Wednesday,8,Funk Library,0.187,1.0,56
1,Wednesday,8,Main Library,0.161,1.0,56
1,Wednesday,8,Illini Union,0.102,1.0,56
1,Wednesday,8,CIF,0.096,1.0,56
1,Wednesday,8,BIF,0.129,1.0,56
1,Wednesday,8,Siebel Center for CS,0.062,1.0,56
1,Wednesday,8,Siebel Center for Design,0.119,1.0,56
1,Wednesday,9,Grainger Library,0.184,1.0,57
1,Wednesday,9,Funk Library,0.308,1.0,57
1,Wednesday,9,Main Library,0.252,1.0,57
1,Wednesday,9,Illini Union,0.243,1.0,57
1,Wednesday,9,CIF,0.162,1.0,57
1,Wednesday,9,BIF,0.202,1.0,57
1,Wednesday,9,Siebel Center for CS,0.105,1.0,57
1,Wednesday,9,Siebel Center for Design,0.196,1.0,57
1,Wednesday,10,Grainger Library,0.288,1.0,58
1,Wednesday,10,Funk Library,0.455,1.0,58
1,Wednesday,10,Main Library,0.364,1.0,58
1,Wednesday,10,Illini Union,0.455,1.0,58
1,Wednesday,10,CIF,0.254,1.0,58
1,Wednesday,10,BIF,0.291,1.0,58
1,Wednesday,10,Siebel Center for CS,0.165,1.0,58
1,Wednesday,10,Siebel Center for Design,0.289,1.0,58
1,Wednesday,11,Grainger Library,0.416,1.0,59
1,Wednesday,11,Funk Library,0.601,1.0,59
1,Wednesday,11,Main Library,0.485,1.0,59
1,Wednesday,11,Illini Union,0.662,1.0,59
1,Wednesday,11,CIF,0.367,1.0,59
1,Wednesday,11,BIF,0.388,1.0,59
1,Wednesday,11,Siebel Center for CS,0.238,1.0,59
1,Wednesday,11,Siebel Center for Design,0.382,1.0,59
1,Wednesday,12,Grainger Library,0.554,1.0,60
1,Wednesday,12,Funk Library,0.709,1.0,60
1,Wednesday,12,Main Library,0.595,1.0,60
1,Wednesday,12,Illini Union,0.75,1.0,60
1,Wednesday,12,CIF,0.489,1.0,60
1,Wednesday,12,BIF,0.476,1.0,60
1,Wednesday,12,Siebel Center for CS,0.317,1.0,60
1,Wednesday,12,Siebel Center for Design,0.451,1.0,60
1,Wednesday,13,Grainger Library,0.679,1.0,61
1,Wednesday,13,Funk Library,0.75,1.0,61
1,Wednesday,13,Main Library,0.672,1.0,61
1,Wednesday,13,Illini Union,0.662,1.0,61
1,Wednesday,13,CIF,0.6,1.0,61
1,Wednesday,13,BIF,0.538,1.0,61
1,Wednesday,13,Siebel Center for CS,0.388,1.0,61
1,Wednesday,13,Siebel Center for Design,0.477,1.0,61
1,Wednesday,14,Grainger Library,0.768,1.0,62
1,Wednesday,14,Funk Library,0.709,1.0,62
1,Wednesday,14,Main Library,0.7,1.0,62
1,Wednesday,14,Illini Union,0.455,1.0,62
1,Wednesday,14,CIF,0.678,1.0,62
1,Wednesday,14,BIF,0.56,1.0,62
1,Wednesday,14,Siebel Center for CS,0.439,1.0,62
1,Wednesday,14,Siebel Center for Design,0.451,1.0,62
1,Wednesday,15,Grainger Library,0.8,1.0,63
1,Wednesday,15,Funk Library,0.601,1.0,63
1,Wednesday,15,Main Library,0.672,1.0,63
1,Wednesday,15,Illini Union,0.394,1.0,63
1,Wednesday,15,CIF,0.706,1.0,63
1,Wednesday,15,BIF,0.538,1.0,63
1,Wednesday,15,Siebel Center for CS,0.457,1.0,63
1,Wednesday,15,Siebel Center for Design,0.382,1.0,63
1,Wednesday,16,Grainger Library,0.768,1.0,64
1,Wednesday,16,Funk Library,0.455,1.0,64
1,Wednesday,16,Main Library,0.595,1.0,64
1,Wednesday,16,Illini Union,0.52,1.0,64
1,Wednesday,16,CIF,0.678,1.0,64
1,Wednesday,16,BIF,0.476,1.0,64
1,Wednesday,16,Siebel Center for CS,0.439,1.0,64
1,Wednesday,16,Siebel Center for Design,0.289,1.0,64
1,Wednesday,17,Grainger Library,0.679,1.0,65
1,Wednesday,17,Funk Library,0.308,1.0,65
1,Wednesday,17,Main Library,0.485,1.0,65
1,Wednesday,17,Illini Union,0.615,1.0,65
1,Wednesday,17,CIF,0.6,1.0,65
1,Wednesday,17,BIF,0.388,1.0,65
1,Wednesday,17,Siebel Center for CS,0.388,1.0,65
1,Wednesday,17,Siebel Center for Design,0.196,1.0,65
1,Wednesday,18,Grainger Library,0.554,1.0,66
1,Wednesday,18,Funk Library,0.187,1.0,66
1,Wednesday,18,Main Library,0.364,1.0,66
1,Wednesday,18,Illini Union,0.65,1.0,66
1,Wednesday,18,CIF,0.489,1.0,66
1,Wednesday,18,BIF,0.291,1.0,66
